order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,order_status,payment_status,order_timestamp,total_amount
1057378,12,prior,4,3,9,26,DELIVERED,FAILED,54:31.2,1518.9
221248,12,prior,5,1,9,30,CANCELLED,FAILED,54:31.2,562.69
1356845,12,test,6,1,20,30,DELIVERED,REFUNDED,54:31.2,204.67
2618231,13,prior,1,6,12,,CANCELLED,PAID,54:31.2,2074.62
2560699,13,prior,2,0,11,8,DELIVERED,REFUNDED,54:31.2,2470.23
2288946,13,prior,3,6,21,6,DELIVERED,PAID,54:31.2,345.89
19256,13,prior,4,1,12,9,CANCELLED,PAID,54:31.2,326.7
1378982,13,prior,5,0,13,6,PLACED,PAID,54:31.2,1178.41
2363981,13,prior,6,0,18,7,PLACED,PAID,54:31.2,2174.41
1906169,13,prior,7,0,8,7,PLACED,PAID,54:31.2,1729.1
1757094,13,prior,8,6,18,13,DELIVERED,PAID,54:31.2,1513.05
519471,13,prior,9,6,17,7,CANCELLED,REFUNDED,54:31.2,2223.61
2298068,13,prior,10,6,22,7,DELIVERED,PAID,54:31.2,324.2
1472646,13,prior,11,0,14,8,DELIVERED,REFUNDED,54:31.2,2047.24
1789302,13,prior,12,6,13,6,PLACED,FAILED,54:31.2,615.53
1827621,13,train,13,0,21,8,DELIVERED,PAID,54:31.2,1950.04
2906263,14,prior,1,2,18,,DELIVERED,REFUNDED,54:31.2,1222.4
3206747,14,prior,2,5,8,30,CANCELLED,FAILED,54:31.2,2050.55
1366559,14,prior,3,0,14,2,DELIVERED,REFUNDED,54:31.2,1932.04
1385564,14,prior,4,6,8,20,PLACED,PAID,54:31.2,1799.84
1691859,14,prior,5,5,8,30,CANCELLED,REFUNDED,54:31.2,1442.54
2127409,14,prior,6,1,8,30,CANCELLED,REFUNDED,54:31.2,1134.76
2505309,14,prior,7,5,10,30,PLACED,FAILED,54:31.2,2268.1
3067644,14,prior,8,4,8,27,DELIVERED,PAID,54:31.2,1831.01
2109666,14,prior,9,5,9,30,PLACED,PAID,54:31.2,868.89
1625325,14,prior,10,4,21,30,DELIVERED,REFUNDED,54:31.2,2206.68
1335295,14,prior,11,1,5,25,DELIVERED,REFUNDED,54:31.2,2183.37
2045336,14,prior,12,5,9,4,PLACED,FAILED,54:31.2,1913.92
3394109,14,prior,13,5,5,7,CANCELLED,FAILED,54:31.2,437.02
2316178,14,train,14,2,19,11,CANCELLED,FAILED,54:31.2,953.94
2514324,15,prior,1,5,13,,PLACED,REFUNDED,54:31.2,1620.17
3135826,15,prior,2,6,12,15,PLACED,FAILED,54:31.2,225.28
2564002,15,prior,3,6,12,7,DELIVERED,REFUNDED,54:31.2,459.01
714991,15,prior,4,1,11,16,PLACED,PAID,54:31.2,1076.6
3317979,15,prior,5,4,15,17,CANCELLED,FAILED,54:31.2,1739.79
876095,15,prior,6,5,11,8,CANCELLED,REFUNDED,54:31.2,1521.62
2685110,15,prior,7,1,11,17,CANCELLED,FAILED,54:31.2,1064.67
3119091,15,prior,8,2,17,8,CANCELLED,REFUNDED,54:31.2,1480.18
887727,15,prior,9,2,13,7,DELIVERED,FAILED,54:31.2,888.47
2570697,15,prior,10,2,10,21,CANCELLED,PAID,54:31.2,2022.47
2600170,15,prior,11,2,9,14,PLACED,PAID,54:31.2,1447.71
2883598,15,prior,12,1,8,6,CANCELLED,REFUNDED,54:31.2,1127.63
2332087,15,prior,13,1,10,14,CANCELLED,FAILED,54:31.2,2341.95
113728,15,prior,14,1,10,14,PLACED,REFUNDED,54:31.2,1633.11
2968173,15,prior,15,1,9,7,PLACED,REFUNDED,54:31.2,1237.11
3097485,15,prior,16,1,9,7,CANCELLED,PAID,54:31.2,2033.73
1870022,15,prior,17,2,16,8,DELIVERED,PAID,54:31.2,366.06
1911383,15,prior,18,2,11,7,DELIVERED,REFUNDED,54:31.2,312.43
2345592,15,prior,19,5,11,3,CANCELLED,PAID,54:31.2,293.11
2994589,15,prior,20,1,13,10,DELIVERED,FAILED,54:31.2,1175.31
2715276,15,prior,21,1,9,7,PLACED,REFUNDED,54:31.2,923.02
487368,15,prior,22,1,10,14,DELIVERED,REFUNDED,54:31.2,1501.3
2161313,15,test,23,1,9,7,DELIVERED,REFUNDED,54:31.2,1710.97
1273676,16,prior,1,2,8,,CANCELLED,PAID,54:31.2,408.25
875885,16,prior,2,1,13,20,DELIVERED,FAILED,54:31.2,496.32
1491849,16,prior,3,1,20,21,CANCELLED,REFUNDED,54:31.2,381.69
2704482,16,prior,4,6,14,12,DELIVERED,FAILED,54:31.2,1835.64
3192400,16,prior,5,2,14,30,DELIVERED,REFUNDED,54:31.2,1719.17
2000615,16,prior,6,0,14,26,DELIVERED,PAID,54:31.2,2159.84
1416320,16,test,7,0,13,7,CANCELLED,REFUNDED,54:31.2,2194.67
1737705,17,prior,1,2,13,,DELIVERED,REFUNDED,54:31.2,1488.23
1681401,17,prior,2,5,10,3,PLACED,PAID,54:31.2,587.22
2680214,17,prior,3,3,10,5,DELIVERED,FAILED,54:31.2,741.09
3197376,17,prior,4,1,14,5,PLACED,REFUNDED,54:31.2,272.21
3237467,17,prior,5,6,17,5,DELIVERED,PAID,54:31.2,395.91
2616505,17,prior,6,4,17,5,CANCELLED,REFUNDED,54:31.2,803.72
2648319,17,prior,7,1,13,4,PLACED,REFUNDED,54:31.2,179.26
2430354,17,prior,8,0,15,6,CANCELLED,FAILED,54:31.2,1518.47
2373492,17,prior,9,3,13,3,PLACED,FAILED,54:31.2,2121.77
900554,17,prior,10,0,15,4,PLACED,PAID,54:31.2,1630.89
805025,17,prior,11,4,15,4,DELIVERED,PAID,54:31.2,1929.88
912404,17,prior,12,2,14,5,CANCELLED,FAILED,54:31.2,1930.14
1389057,17,prior,13,1,13,6,CANCELLED,PAID,54:31.2,2348.63
603534,17,prior,14,6,17,5,CANCELLED,FAILED,54:31.2,2132.26
2660930,17,prior,15,2,16,3,DELIVERED,FAILED,54:31.2,618.89
1719551,17,prior,16,1,12,6,PLACED,FAILED,54:31.2,2010.59
601444,17,prior,17,5,21,4,CANCELLED,PAID,54:31.2,2288.51
2956367,17,prior,18,6,12,8,DELIVERED,PAID,54:31.2,1652.02
2508834,17,prior,19,5,11,6,DELIVERED,FAILED,54:31.2,2029.06
415389,17,prior,20,5,13,7,DELIVERED,PAID,54:31.2,1382.47
3141030,17,prior,21,2,12,4,PLACED,FAILED,54:31.2,314.6
603376,17,prior,22,6,16,4,CANCELLED,FAILED,54:31.2,1994.25
3069802,17,prior,23,3,23,4,CANCELLED,REFUNDED,54:31.2,2055.25
1683378,17,prior,24,1,10,5,PLACED,FAILED,54:31.2,1023.82
2795254,17,prior,25,0,11,6,DELIVERED,FAILED,54:31.2,1700.14
343199,17,prior,26,5,17,5,PLACED,FAILED,54:31.2,373.15
1385847,17,prior,27,4,10,6,DELIVERED,REFUNDED,54:31.2,674.63
3314059,17,prior,28,1,9,4,PLACED,PAID,54:31.2,1621.55
697863,17,prior,29,6,14,5,PLACED,FAILED,54:31.2,2488.88
2148135,17,prior,30,6,15,0,CANCELLED,FAILED,54:31.2,1051.28
3327122,17,prior,31,4,12,5,CANCELLED,REFUNDED,54:31.2,2106.92
2760791,17,prior,32,1,22,4,DELIVERED,PAID,54:31.2,2102.48
2553089,17,prior,33,3,11,9,CANCELLED,REFUNDED,54:31.2,656.81
791858,17,prior,34,5,12,16,CANCELLED,REFUNDED,54:31.2,2045.04
2773605,17,prior,35,6,13,8,DELIVERED,REFUNDED,54:31.2,2180.09
674977,17,prior,36,3,12,30,DELIVERED,REFUNDED,54:31.2,1759.19
2831726,17,prior,37,2,12,13,PLACED,FAILED,54:31.2,1347.04
1385397,17,prior,38,1,15,30,CANCELLED,FAILED,54:31.2,1735.87
348137,17,prior,39,5,16,11,PLACED,REFUNDED,54:31.2,1368.91
3350883,17,prior,40,4,11,27,PLACED,REFUNDED,54:31.2,500.66
2180313,17,train,41,3,10,30,DELIVERED,REFUNDED,54:31.2,1851.33
2780889,18,prior,1,6,18,,PLACED,REFUNDED,54:31.2,955.23
3106101,18,prior,2,0,17,1,CANCELLED,PAID,54:31.2,243.88
1860960,18,prior,3,1,19,8,CANCELLED,PAID,54:31.2,1660.77
3133044,18,prior,4,0,16,6,PLACED,REFUNDED,54:31.2,1094.01
1020460,18,prior,5,2,16,9,DELIVERED,FAILED,54:31.2,706.74
441977,18,prior,6,6,12,4,CANCELLED,REFUNDED,54:31.2,977.73
2461523,18,train,7,6,9,7,DELIVERED,PAID,54:31.2,1533.83
1321974,19,prior,1,6,13,,PLACED,PAID,54:31.2,750.09
2293453,19,prior,2,5,14,6,PLACED,PAID,54:31.2,848.03
2208892,19,prior,3,0,14,16,DELIVERED,PAID,54:31.2,966.76
2808909,19,prior,4,5,12,5,CANCELLED,PAID,54:31.2,2279.03
1973799,19,prior,5,6,12,8,PLACED,REFUNDED,54:31.2,1677.91
2474845,19,prior,6,5,13,20,CANCELLED,FAILED,54:31.2,1413.52
532817,19,prior,7,4,17,6,DELIVERED,REFUNDED,54:31.2,2082.29
2483716,19,prior,8,4,4,7,DELIVERED,PAID,54:31.2,1858.91
86918,19,prior,9,5,16,8,DELIVERED,PAID,54:31.2,1176.41
1735923,19,test,10,6,17,8,PLACED,FAILED,54:31.2,314.78
947722,20,prior,1,1,10,,DELIVERED,PAID,54:31.2,1880.56
157550,20,prior,2,3,16,2,DELIVERED,REFUNDED,54:31.2,1532.76
3408319,20,prior,3,2,11,6,PLACED,REFUNDED,54:31.2,376.95
2741696,20,prior,4,2,11,7,CANCELLED,PAID,54:31.2,1559.46
1980631,20,test,5,1,11,30,CANCELLED,REFUNDED,54:31.2,292.28
2625565,21,prior,1,1,10,,DELIVERED,PAID,54:31.2,2323.25
2698037,21,prior,2,1,9,7,DELIVERED,REFUNDED,54:31.2,191.72
1166994,21,prior,3,1,13,7,PLACED,REFUNDED,54:31.2,887.43
129152,21,prior,4,1,14,14,CANCELLED,FAILED,54:31.2,2497.1
62373,21,prior,5,1,14,7,PLACED,FAILED,54:31.2,1241.64
2984916,21,prior,6,5,6,4,PLACED,PAID,54:31.2,1271.94
1716848,21,prior,7,5,9,28,DELIVERED,FAILED,54:31.2,715.93
3288630,21,prior,8,2,13,18,CANCELLED,PAID,54:31.2,1927.72
2592860,21,prior,9,4,10,2,DELIVERED,PAID,54:31.2,1753.89
1573906,21,prior,10,3,10,6,CANCELLED,FAILED,54:31.2,1375.13
2102674,21,prior,11,1,15,12,DELIVERED,REFUNDED,54:31.2,870.62
534401,21,prior,12,1,9,21,CANCELLED,REFUNDED,54:31.2,1125.24
2510446,21,prior,13,5,11,4,DELIVERED,FAILED,54:31.2,1926.58
1082944,21,prior,14,1,9,10,DELIVERED,PAID,54:31.2,1996.16
3257456,21,prior,15,1,9,7,PLACED,FAILED,54:31.2,1796.26
774475,21,prior,16,1,11,7,CANCELLED,FAILED,54:31.2,978.13
1953572,21,prior,17,2,15,1,DELIVERED,REFUNDED,54:31.2,363.89
1674891,21,prior,18,2,11,21,DELIVERED,PAID,54:31.2,1539.05
77791,21,prior,19,3,9,8,DELIVERED,REFUNDED,54:31.2,2373.16
1413723,21,prior,20,1,10,12,CANCELLED,PAID,54:31.2,2482.44
1806047,21,prior,21,1,9,7,DELIVERED,REFUNDED,54:31.2,1339.62
1431584,21,prior,22,3,9,9,PLACED,REFUNDED,54:31.2,585.04
2941505,21,prior,23,2,13,6,DELIVERED,FAILED,54:31.2,373.8
1322450,21,prior,24,5,8,3,PLACED,PAID,54:31.2,2394.58
1776467,21,prior,25,5,8,7,PLACED,PAID,54:31.2,1136.68
497940,21,prior,26,1,11,10,DELIVERED,REFUNDED,54:31.2,446.65
1735495,21,prior,27,3,8,9,CANCELLED,PAID,54:31.2,811.02
1996394,21,prior,28,1,9,5,CANCELLED,REFUNDED,54:31.2,1454.47
1110781,21,prior,29,2,9,8,CANCELLED,REFUNDED,54:31.2,2164.84
2097221,21,prior,30,1,11,6,CANCELLED,REFUNDED,54:31.2,780.49
2057208,21,prior,31,3,15,9,DELIVERED,REFUNDED,54:31.2,1378.87
865324,21,prior,32,1,13,12,DELIVERED,PAID,54:31.2,979.16
3341737,21,prior,33,1,12,30,PLACED,PAID,54:31.2,973.46
1854765,21,train,34,1,12,28,PLACED,REFUNDED,54:31.2,1154.04
2300537,22,prior,1,3,7,,DELIVERED,PAID,54:31.2,1518
144358,22,prior,2,3,7,30,CANCELLED,REFUNDED,54:31.2,2388.59
1219654,22,prior,3,0,21,4,PLACED,REFUNDED,54:31.2,532.45
2922708,22,prior,4,3,11,30,CANCELLED,FAILED,54:31.2,642.93
3393222,22,prior,5,5,21,16,DELIVERED,PAID,54:31.2,2054.56
2327987,22,prior,6,1,19,17,DELIVERED,PAID,54:31.2,1321.78
2455079,22,prior,7,6,17,5,PLACED,PAID,54:31.2,961.56
634494,22,prior,8,5,9,13,CANCELLED,REFUNDED,54:31.2,344.84
1014994,22,prior,9,5,15,28,PLACED,REFUNDED,54:31.2,999.57
3227049,22,prior,10,3,19,5,DELIVERED,FAILED,54:31.2,340.36
2780464,22,prior,11,5,12,2,PLACED,FAILED,54:31.2,2189.16
194741,22,prior,12,0,8,2,PLACED,PAID,54:31.2,2269.28
1766930,22,prior,13,5,10,5,DELIVERED,PAID,54:31.2,985.84
3090814,22,prior,14,1,19,3,DELIVERED,PAID,54:31.2,2355.27
2647850,22,prior,15,4,10,30,DELIVERED,FAILED,54:31.2,2257.87
139655,22,test,16,5,6,1,PLACED,PAID,54:31.2,716.89
1792521,23,prior,1,5,14,,PLACED,PAID,54:31.2,821.84
8382,23,prior,2,0,10,9,CANCELLED,PAID,54:31.2,713.65
1902489,23,prior,3,5,12,5,PLACED,REFUNDED,54:31.2,516.05
1072926,23,prior,4,3,11,30,PLACED,REFUNDED,54:31.2,1601.25
3402036,23,train,5,1,12,30,CANCELLED,PAID,54:31.2,317.3
611214,24,prior,1,3,20,,CANCELLED,REFUNDED,54:31.2,762.93
1869748,24,prior,2,6,16,3,PLACED,REFUNDED,54:31.2,2271.68
1511050,24,prior,3,3,21,30,DELIVERED,REFUNDED,54:31.2,2388.46
2877797,24,prior,4,6,10,24,DELIVERED,PAID,54:31.2,1872.89
118133,24,prior,5,0,11,30,CANCELLED,PAID,54:31.2,878.27
816714,24,prior,6,6,8,13,CANCELLED,FAILED,54:31.2,2181.26
1415679,24,prior,7,0,8,15,DELIVERED,PAID,54:31.2,1164.44
3064712,24,prior,8,1,20,8,CANCELLED,FAILED,54:31.2,906.61
1640680,24,prior,9,1,8,30,DELIVERED,PAID,54:31.2,762.42
3354579,24,prior,10,5,17,18,PLACED,REFUNDED,54:31.2,1059.73
3320181,24,prior,11,4,14,6,PLACED,FAILED,54:31.2,1566.12
2126098,24,prior,12,5,16,22,PLACED,REFUNDED,54:31.2,2363.24
2586085,24,prior,13,2,11,11,DELIVERED,FAILED,54:31.2,377.43
1103927,24,prior,14,6,8,4,DELIVERED,PAID,54:31.2,1976.25
1368577,24,prior,15,0,10,15,CANCELLED,REFUNDED,54:31.2,2054.11
2635041,24,prior,16,0,9,7,DELIVERED,REFUNDED,54:31.2,2163.92
196008,24,prior,17,0,20,14,PLACED,PAID,54:31.2,2028.79
173172,24,prior,18,0,16,14,CANCELLED,REFUNDED,54:31.2,1257.11
965160,24,train,19,0,16,0,DELIVERED,FAILED,54:31.2,856.93
2610576,25,prior,1,1,14,,CANCELLED,PAID,54:31.2,1938.09
2994388,25,prior,2,1,20,30,PLACED,PAID,54:31.2,721.42
258751,25,prior,3,5,19,30,DELIVERED,REFUNDED,54:31.2,1345.84
1411408,25,test,4,0,15,30,CANCELLED,PAID,54:31.2,1462.25
3229714,26,prior,1,2,15,,DELIVERED,FAILED,54:31.2,549.46
2284750,26,prior,2,5,11,10,DELIVERED,PAID,54:31.2,2424.87
1488077,26,prior,3,5,10,7,PLACED,PAID,54:31.2,2326.08
1798774,26,prior,4,4,20,6,PLACED,REFUNDED,54:31.2,827.45
2018734,26,prior,5,5,9,8,CANCELLED,FAILED,54:31.2,1052.56
2827207,26,prior,6,2,15,11,PLACED,PAID,54:31.2,962.45
2097636,26,prior,7,1,13,30,PLACED,FAILED,54:31.2,371.12
2923351,26,prior,8,3,11,30,PLACED,FAILED,54:31.2,1268.93
2063028,26,prior,9,3,9,14,CANCELLED,REFUNDED,54:31.2,451.88
3350048,26,prior,10,3,14,7,DELIVERED,FAILED,54:31.2,1840.53
135696,26,prior,11,4,17,8,DELIVERED,REFUNDED,54:31.2,1432.94
232721,26,prior,12,4,17,7,CANCELLED,FAILED,54:31.2,846.12
2940603,26,test,13,5,14,8,CANCELLED,FAILED,54:31.2,2498.43
361493,27,prior,1,3,9,,DELIVERED,FAILED,54:31.2,936.7
1662354,27,prior,2,2,17,6,PLACED,FAILED,54:31.2,676.9
965677,27,prior,3,3,8,1,CANCELLED,FAILED,54:31.2,2441.59
2842504,27,prior,4,5,13,2,DELIVERED,REFUNDED,54:31.2,665.96
1007361,27,prior,5,2,15,4,CANCELLED,REFUNDED,54:31.2,1502.04
2792524,27,prior,6,4,9,9,PLACED,PAID,54:31.2,689.52
1771198,27,prior,7,2,14,5,CANCELLED,PAID,54:31.2,1644.13
1460681,27,prior,8,3,15,1,DELIVERED,FAILED,54:31.2,1231.63
3317805,27,prior,9,4,13,1,CANCELLED,REFUNDED,54:31.2,1598.18
3149167,27,prior,10,4,15,7,DELIVERED,REFUNDED,54:31.2,808.28
3141790,27,prior,11,5,11,1,CANCELLED,FAILED,54:31.2,883.49
1380784,27,prior,12,1,11,3,CANCELLED,REFUNDED,54:31.2,540.02
1659155,27,prior,13,2,17,1,CANCELLED,REFUNDED,54:31.2,1748.09
1406911,27,prior,14,3,9,8,CANCELLED,PAID,54:31.2,1399.33
3247231,27,prior,15,1,14,5,PLACED,REFUNDED,54:31.2,1982.41
2705360,27,prior,16,2,16,8,CANCELLED,PAID,54:31.2,876.01
1523605,27,prior,17,2,9,7,DELIVERED,REFUNDED,54:31.2,199.94
3137551,27,prior,18,1,15,20,CANCELLED,FAILED,54:31.2,1015.22
900590,27,prior,19,3,9,9,PLACED,REFUNDED,54:31.2,1050.04
1060278,27,prior,20,1,16,12,CANCELLED,REFUNDED,54:31.2,1714.96
1149132,27,prior,21,2,11,8,DELIVERED,PAID,54:31.2,1389.4
2729473,27,prior,22,3,8,8,PLACED,FAILED,54:31.2,1878.38
612679,27,prior,23,2,13,6,PLACED,PAID,54:31.2,1651.31
3162630,27,prior,24,2,15,0,PLACED,PAID,54:31.2,1042.88
338996,27,prior,25,5,10,10,CANCELLED,REFUNDED,54:31.2,1606.18
2305567,27,prior,26,5,14,7,PLACED,PAID,54:31.2,1222.09
1311494,27,prior,27,1,15,17,PLACED,PAID,54:31.2,1895.38
1641287,27,prior,28,3,10,2,PLACED,FAILED,54:31.2,860.53
654294,27,prior,29,3,14,0,PLACED,REFUNDED,54:31.2,222.62
1111867,27,prior,30,4,16,1,DELIVERED,FAILED,54:31.2,612.92
1194452,27,prior,31,2,14,5,DELIVERED,PAID,54:31.2,2488.59
3147283,27,prior,32,5,10,10,CANCELLED,PAID,54:31.2,2451.98
1666812,27,prior,33,4,15,6,CANCELLED,PAID,54:31.2,969.26
2695034,27,prior,34,2,15,5,PLACED,REFUNDED,54:31.2,414.71
129025,27,prior,35,3,16,1,CANCELLED,REFUNDED,54:31.2,1249.67
920968,27,prior,36,5,14,2,PLACED,REFUNDED,54:31.2,2459.86
2005447,27,prior,37,1,10,3,PLACED,FAILED,54:31.2,2180
1603399,27,prior,38,2,16,1,DELIVERED,REFUNDED,54:31.2,780.12
3176698,27,prior,39,1,14,6,DELIVERED,FAILED,54:31.2,306.65
3374715,27,prior,40,4,10,3,CANCELLED,FAILED,54:31.2,1771.24
2392592,27,prior,41,5,10,1,CANCELLED,REFUNDED,54:31.2,1895.4
1374792,27,prior,42,5,14,0,DELIVERED,REFUNDED,54:31.2,2466.24
